Name,Author,Rating,Format,Price
"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,4.0,Kindle,$0.99
Being Mortal,Atul Gawande,4.8,Paperback,$9.99
Stalin's War: A New History of World War II,Audible Audiobook,$0.00
The Golf Round I'll Never Forget: Fifty of Golf's Biggest Stars Recall Their Finest Moments,Matt Adams,4.7,Paperback,$24.95
"The Divider: Trump in the White House, 2017-2021",Audible Audiobook,$0.00
Inspirational Sports Stories for Young Readers: How 12 World-Class Athletes Overcame Challenges and Rose to the Top,Kurt Taylor,4.7,Paperback,$10.99
Scandalous Women Of The Old West: Women Who Dared To Be Different,Donna Pedace,4.5,Paperback,$19.95
"What Really Happened In Wuhan: A Virus Like No Other, Countless Infections, Millions of Deaths",Sharri Markson,4.8,Hardcover,$14.86
Alexander Hamilton,Audible Audiobook,$0.00
Salt: A World History,Mark Kurlansky,4.4,Paperback,$13.79
Criminal Atonement: The True life story of one of America's Most Wanted Criminals,Harold Andrus,4.8,Paperback,$14.99
Freaking Idiots Guides 4 Book Bundle Ebay Fiverr Kindle & Public Domain,Book 9 of 12: eBay Selling Made Easy ,4.7,Paperback,$19.99
The 1619 Project: A New Origin Story,Audible Audiobook,$0.00
"Surrender: 40 Songs, One Story",Audible Audiobook,$0.00
101 Things Every Boy Needs To Know: Important Life Advice for Teenage Boys!,Jamie Myers,4.5,Paperback,$11.89
The Company: The Rise and Fall of the Hudson's Bay Empire,Paperback,$19.95
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,4.6,Hardcover,$21.49
The Way I Heard It,Audible Audiobook,$0.00
Talking to GOATs: The Moments You Remember and the Stories You Never Heard,Audible Audiobook,$0.00
Making a Difference: An Inspirational Book About Kids Changing the World! (Young Change Makers),Part of: Young Change Makers (7 books) ,4.7,Paperback,$11.11
"Buried Beneath the Boarding House: A Shocking True Story of Deception, Exploitation and Murder (True Crime)",Part of: True Crime (26 books) ,4.4,Paperback,$11.99
Spectacular Stories for Curious Kids Sports Edition: Fascinating Tales to Inspire & Amaze Young Readers,Part of: Spectacular Stories for Curious Kids (5 books) ,4.8,Paperback,$11.99
Our Little Secret: The True Story of a Teenage Killer and the Silence of a Small New England Town,Kevin Flynn,4.4,Mass Market Paperback,$7.99
"Three Ordinary Girls: The Remarkable Story of Three Dutch Teenagers Who Became Spies, Saboteurs, Nazi Assassins--and WWII Heroes",Tim Brady,4.4,Hardcover,$22.99
One Damn Thing After Another: Memoirs of an Attorney General,William P. Barr,4.4,Hardcover,$18.29
They Were Christians: The Inspiring Faith of Men and Women Who Changed the World,Cristóbal Krusen,4.7,Paperback,$11.29
The Best American Science And Nature Writing 2022,Ayana Elizabeth Johnson,4.1,Paperback,$16.19
"This Will Not Pass: Trump, Biden and the Battle for American Democracy",Audible Audiobook,$0.00
Marine Raiders: The True Story of the Legendary WWII Battalions (World War II Collection),Carole Engle Avriett,4.7,Paperback,$13.91
A People's History of the World: From the Stone Age to the New Millennium,Chris Harman,4.5,Paperback,$17.79
Happy-Go-Lucky,Audible Audiobook,$0.00
The Finest Hours (Young Readers Edition): The True Story of a Heroic Sea Rescue (True Rescue Series),Part of: True Rescue (7 books) ,4.6,Paperback,$6.78
"Torture Mom: A Chilling True Story of Confinement, Mutilation and Murder (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
The Economics of Discontent: From Failing Elites to The Rise of Populism,Jean-Michel Paul,4.3,Kindle,$0.00
"The Darkest Night: Two Sisters, a Brutal Murder, and the Loss of Innocence in a Small Town",Ron Franscell,4.5,Mass Market Paperback,$9.99
Illegitimate Sun: How a Naval Cryptologist Cracked the Code of Life Lessons,Kenneth Earl,4.4,Paperback,$8.17
An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Audible Audiobook,$0.00
"Prisoners of the Castle: An Epic Story of Survival and Escape from Colditz, the Nazis' Fortress Prison",Ben Macintyre,4.5,Kindle,$13.99
Rising Above: How 11 Athletes Overcame Challenges in Their Youth to Become Stars,Gregory Zuckerman,4.7,Paperback,$9.99
America's Heroes and History: A Brian Kilmeade Collection,Brian Kilmeade,4.9,Paperback,$47.99
"Deliberate Cruelty: Truman Capote, the Millionaire's Wife, and the Murder of the Century",Roseanne Montillo,3.9,Kindle,$14.99
Educated: A Memoir,Audible Audiobook,$0.00
Jungle: A Harrowing True Story of Survival in the Amazon,Yossi Ghinsberg,4.4,Kindle,$10.99
The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland,4.6,Kindle,$14.99
Zero Fail: The Rise and Fall of the Secret Service,Audible Audiobook,$0.00
"The Bond King: How One Man Made a Market, Built an Empire, and Lost It All",Audible Audiobook,$0.00
The Gray Bird of Baghdad: An Ex-Secret Service Agent‘s Desperate Mission to Save an Iraqi Scientist,Stephen Phillip Monteiro,4.9,Paperback,$16.19
The Queen: Her Life,Andrew Morton,4.6,Hardcover,$19.46
The Best American Essays 2022,Robert Atwan,4.6,Paperback,$16.19
"Into the Abyss: An Extraordinary True Story by Shaben, Carol (2014) Paperback",Carol Shaben,4.3,Paperback,$11.89
"Butcher, Biter, Spy: A True Story of Madness, Mutilation and Unspeakable Acts of Brutality (True Crime)",Part of: True Crime (26 books) ,4.5,Paperback,$11.99
"Don't Waste This Storm: Hope-Filled Thriving, Not Just Barely Surviving, in the Storms of Life",Kindle Edition,$5.99
The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,4.5,Kindle Edition,$0.00
The Gift of Influence: Creating Life-Changing and Lasting Impact in Your Everyday Interactions,Tommy Spaulding,4.7,Hardcover,$20.49
"The Lost Boys of Montauk: The True Story of the Wind Blown, Four Men Who Vanished at Sea, and the Survivors They Left Behind",Amanda M. Fairbanks,4.1,Paperback,$15.99
"Sleeping with a Psychopath: A real-life psychological crime thriller, the unbelievable true story. THE SUNDAY TIMES TOP TEN BESTSELLER",Carolyn Woods,4.3,Paperback,$15.17
Stephen Curry: The Children's Book: The Boy Who Never Gave Up,Anthony Curcio,4.7,Paperback,$8.13
"Tesla: Wizard at War: The Genius, the Particle Beam Weapon, and the Pursuit of Power",Hardcover,$19.99
"The Bond King: How One Man Made a Market, Built an Empire, and Lost It All",Audible Audiobook,$0.00
50 Masterpieces you have to read before you die vol: 1,Kindle,$1.99
Spectacular Stories for Curious Kids: A Fascinating Collection of True Tales to Inspire & Amaze Young Readers,Part of: Spectacular Stories for Curious Kids (5 books) ,4.7,Paperback,$11.26
Vacuuming in the Nude: And Other Ways to Get Attention,Peggy Rowe,4.8,Hardcover,$13.74
The Pale-Faced Lie: A True Story,David Crow,4.5,Paperback,$13.49
"If You Tell: A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,4.3,Kindle Edition,$0.00
IT AIN'T SO!: Shoeless Joe Jackson's Story,Alan Thurston,4.1,Paperback,$12.99
James Patterson by James Patterson: The Stories of My Life,James Patterson,4.6,Hardcover,$15.15
Sapiens: A Brief History of Humankind,Part of: A Brief History Series (2 books) ,4.6,Audible Audiobook,$0.00
Zero Fail: The Rise and Fall of the Secret Service,Audible Audiobook,$0.00
"Physicians' Untold Stories: Miraculous experiences doctors are hesitant to share with their patients, or ANYONE!",Kindle Edition,$9.99
"When the Moon Turns to Blood: Lori Vallow, Chad Daybell, and a Story of Murder, Wild Faith, and End Times",Leah Sottile,4.1,Kindle Edition,$15.99
19 Minutes to Live - Helicopter Combat in Vietnam: A Memoir by Lew Jennings,Lew Jennings,4.6,Paperback,$17.96
"Surrender: A Memoir of Nature, Nurture, and Love",Marylee MacDonald,4.3,Kindle Edition,$6.99
Make $1000 Selling on eBay Before Christmas (eBay Selling Made Easy),Book 8 of 12: eBay Selling Made Easy ,3.8,Paperback,$9.99
Happy-Go-Lucky,Audible Audiobook,$0.00
Wind of Change: An American Journey in Post-Soviet Russia,Kenneth Maher,4.7,Kindle,$2.99
Gangsters vs. Nazis: How Jewish Mobsters Battled Nazis in WW2 Era America,Michael Benson,4.3,Hardcover,$24.30
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
"The Girls Are Gone: The True Story of Two Sisters Who Vanished, the Father Who Kept Searching, and the Adults Who Conspired to Keep the Truth Hidden",Michael Brodkorb,4.0,Kindle Edition,$0.99
"Extreme Survival: Lessons from Those Who Have Triumphed Against All Odds (Survival Stories, True Stories)",Paperback,$17.99
"Life Changing Vision: Launch Direct Action, Realizing Necessary Elements, To Live Large",L. Darnell Williams,4.5,Kindle,$0.00
Helltown: The Untold Story of a Serial Killer on Cape Cod,Casey Sherman,4.1,Kindle,$8.57
The Body: A Guide for Occupants,Audible Audiobook,$0.00
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",Jordan Moore,4.5,Paperback,$12.89
American Schism: How the Two Enlightenments Hold the Secret to Healing our Nation,Hardcover,$15.99
"Super Interesting Facts For Smart Kids: 1272 Fun Facts About Science, Animals, Earth and Everything in Between",Jordan Moore,4.7,Paperback,$11.90
The Bucket List: 1000 Adventures Big & Small,Kath Stathers,4.7,Hardcover,$20.99
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Audible Audiobook,$0.00
"World War II Inspiring Stories for Kids: A Collection of Unbelievable True Tales About Goodness, Friendship, Courage, and Rescue to Inspire Young ... Events of WWII (Facts & History Book)",Ennis Jemmy,4.7,Paperback,$8.99
Recipes for a Sacred Life: True Stories and a Few Miracles,Rivvy Neshama,4.4,Paperback,$15.38
After All ... : A True Story,Maria  Trautman,4.3,Kindle,$0.00
